Dte.,Barris,TOTAL,"Cap
dona",1 dona,2 dones,3 dones,"4 dones
o m�s"
1,1. el Raval,16851,4233,7445,3101,1242,830
1,2. el Barri G�tic,6450,1681,3071,1142,375,181
1,3. la Barceloneta,6850,1511,3762,1164,315,98
1,"4. Sant Pere, Santa Caterina i la Ribera",9954,2363,5127,1691,535,238
2,5. el Fort Pienc,12805,1886,6922,2875,846,276
2,6. la Sagrada Fam�lia,21844,3041,12313,4667,1400,423
2,7. la Dreta de l'Eixample,18391,3133,9682,3885,1234,457
2,8. l'Antiga Esquerra de l'Eixample,18104,3129,9659,3762,1165,389
2,9. la Nova Esquerra de l'Eixample,24515,3769,13423,5254,1554,515
2,10. Sant Antoni,16383,2819,8936,3236,1011,381
3,11. el Poble Sec - Parc Montju�c,15983,2839,8400,3205,1054,485
3,12. la Marina del Prat Vermell - Zona Franca,442,88,219,85,39,11
3,13. la Marina de Port,11780,1546,6338,2705,901,290
3,14. la Font de la Guatlla,4266,666,2325,919,266,90
3,15. Hostafrancs,6611,1041,3632,1393,403,142
3,16. la Bordeta,7530,965,4266,1655,485,159
3,17. Sants - Badal,9919,1390,5538,2119,625,247
3,18. Sants,17151,2496,9727,3555,1055,318
4,19. les Corts,18908,2394,10706,4233,1233,342
4,20. la Maternitat i Sant Ramon,9672,1199,5336,2286,657,194
4,21. Pedralbes,4191,456,2108,1056,387,184
5,"22. Vallvidrera, el Tibidabo i les Planes",1563,202,739,395,163,64
5,23. Sarri�,8867,1145,4334,2164,869,355
5,24. les Tres Torres,5586,593,2707,1370,638,278
5,25. Sant Gervasi - la Bonanova,9351,1152,4672,2280,880,367
5,26. Sant Gervasi - Galvany,18589,2385,9649,4289,1653,613
5,27. el Putxet i el Farr�,12157,1672,6577,2707,925,276
6,28. Vallcarca i els Penitents,6415,916,3529,1422,421,127
6,29. el Coll,3079,416,1715,708,182,58
6,30. la Salut,5392,700,3051,1199,360,82
6,31. la Vila de Gr�cia,22753,3840,12841,4436,1261,375
6,32. el Camp d'en Grassot i Gr�cia Nova,14839,1985,8515,3223,894,222
7,33. el Baix Guinard�,10774,1429,6194,2341,625,185
7,34. Can Bar�,3779,568,2101,803,232,75
7,35. el Guinard�,15261,2095,8678,3231,987,270
7,36. la Font d'en Fargues,3689,438,2030,892,273,56
7,37. el Carmel,12706,1591,7257,2776,851,231
7,38. la Teixonera,4673,607,2721,1024,260,61
7,39. Sant Gen�s dels Agudells,2826,387,1603,606,171,59
7,40. Montbau,2112,301,1214,432,131,34
7,41. la Vall d'Hebron,2312,265,1372,482,167,26
7,42. la Clota,253,53,143,42,11,4
7,43. Horta,10573,1222,6173,2324,665,189
8,44. Vilapicina i la Torre Llobeta,10493,1199,6020,2393,695,186
8,45. Porta,10111,1253,5952,2087,614,205
8,46. el Tur� de la Peira,6164,796,3433,1272,463,200
8,47. Can Peguera,913,135,494,200,63,21
8,48. la Guineueta,6160,659,3635,1389,379,98
8,49. Canyelles,2801,299,1657,632,179,34
8,50. les Roquetes,5831,789,3054,1321,482,185
8,51. Verdun,5022,665,2851,1038,320,148
8,52. la Prosperitat,10692,1309,6223,2290,667,203
8,53. la Trinitat Nova,2876,479,1450,648,215,84
8,54. Torre Bar�,931,135,417,229,102,48
8,55. Ciutat Meridiana,3544,443,1849,785,294,173
8,56. Vallbona,470,85,208,123,38,16
9,57. la Trinitat Vella,3473,508,1764,756,298,147
9,58. Bar� de Viver,963,171,450,228,87,27
9,59. el Bon Pastor,4460,579,2327,1056,372,126
9,60. Sant Andreu,23363,2815,13399,5352,1500,297
9,61. la Sagrera,11696,1335,6779,2583,791,208
9,62. el Congr�s i els Indians,5917,751,3362,1287,405,112
9,63. Navas,8964,1014,5153,2029,586,182
10,64. el Camp de l'Arpa del Clot,16270,2322,9226,3431,1002,289
10,65. el Clot,10767,1469,5858,2451,796,193
10,66. el Parc i la Llacuna del Poblenou,6037,969,3251,1315,382,120
10,67. la Vila Ol�mpica del Poblenou,3520,521,1684,927,336,52
10,68. el Poblenou,13562,2070,7244,3087,946,215
10,69. Diagonal Mar i el Front Mar�tim del Poblenou,5427,904,2799,1236,400,88
10,70. el Bes�s i el Maresme,8267,1160,4384,1837,645,241
10,71. Proven�als del Poblenou,8139,1099,4417,1884,590,149
10,72. Sant Mart� de Proven�als,10584,1203,6133,2369,693,186
10,73. la Verneda i la Pau,11413,1255,6617,2510,799,232
